Date/Time(PST),BATT(V),CHLOR-A(ug/L),COND(mS/cm),DO(mg/L),DO%(% Sat),pH(units),Temp(C)
2021-02-01 04:00:00,10.6,2.61,0.093,12.42,96.92,9.08,4.57
2021-02-01 03:00:00,,1.84,0.093,12.34,96.17,9.01,4.54
2021-02-01 02:00:00,,3.27,0.093,12.18,94.86,8.97,4.49
2021-02-01 01:00:00,,4.83,0.093,11.99,93.36,8.97,4.49
2021-02-01 00:00:00,,4.95,0.093,11.87,92.53,8.92,4.53
2021-01-31 23:00:00,,4.81,0.094,11.89,92.68,8.92,4.53
2021-01-31 22:00:00,,6.37,0.094,11.98,93.47,8.99,4.57
2021-01-31 21:00:00,,5.01,0.093,11.96,93.36,8.99,4.58
2021-01-31 20:00:00,,5,0.093,11.94,93.11,8.9,4.54
2021-01-31 19:00:00,,5.1,0.093,11.99,93.33,9.04,4.47
2021-01-31 18:00:00,,4.9,0.092,11.99,93.25,9.02,4.45
2021-01-31 17:00:00,,5.13,0.092,12.05,93.72,8.9,4.44
2021-01-31 16:00:00,10.83,4.58,0.092,12.06,93.91,8.93,4.49
2021-01-31 15:00:00,,4.15,0.093,12,93.59,8.91,4.55
2021-01-31 14:00:00,,4.27,0.093,11.97,93.39,8.94,4.56
2021-01-31 13:00:00,,4.31,0.092,12.02,93.74,8.98,4.56
2021-01-31 12:00:00,,4.23,0.092,12.01,93.36,8.97,4.43
2021-01-31 11:00:00,,4.33,0.092,12.01,93.32,8.95,4.4
2021-01-31 10:00:00,,4.41,0.093,12.05,93.74,8.94,4.45
2021-01-31 09:00:00,,4.17,0.093,12.08,93.99,9.03,4.48
2021-01-31 08:00:00,,4.01,0.092,12.14,94.5,8.99,4.48
2021-01-31 07:00:00,,4.44,0.092,12.13,94.39,9.07,4.49
2021-01-31 06:00:00,,3.42,0.092,12.15,94.44,9.02,4.45
2021-01-31 05:00:00,,3.33,0.092,12.18,94.69,9,4.43
2021-01-31 04:00:00,10.83,4.19,0.092,12.01,93.4,8.93,4.45
2021-01-31 03:00:00,,7.56,0.092,12,93.27,8.94,4.44
2021-01-31 02:00:00,,4.23,0.092,12,93.19,8.91,4.41
2021-01-31 01:00:00,,4.27,0.092,11.99,93.05,8.93,4.38
2021-01-31 00:00:00,,4.17,0.091,12,92.82,8.97,4.23
2021-01-30 23:00:00,,4.1,0.092,12,92.81,8.9,4.24
2021-01-30 22:00:00,,4.22,0.091,11.98,92.69,8.92,4.27
2021-01-30 21:00:00,,4.25,0.091,11.94,92.47,8.89,4.29
2021-01-30 20:00:00,,4.18,0.091,12.03,93.05,8.91,4.24
2021-01-30 19:00:00,,5.08,0.091,12,92.75,8.97,4.22
2021-01-30 18:00:00,,4.29,0.091,12.03,92.93,8.93,4.18
2021-01-30 17:00:00,,4.57,0.09,12.05,93.12,8.9,4.21
2021-01-30 16:00:00,11.07,4.47,0.091,12.05,93.19,8.93,4.23
2021-01-30 15:00:00,,4.29,0.091,12.04,92.86,8.97,4.14
2021-01-30 14:00:00,,4.45,0.091,12.09,93.84,8.95,4.36
2021-01-30 13:00:00,,4.38,0.092,11.99,93.18,8.94,4.41
2021-01-30 12:00:00,,4.4,0.091,12.14,94.27,8.94,4.39
2021-01-30 11:00:00,,10.96,0.091,12.1,93.95,8.95,4.37
2021-01-30 10:00:00,,4.56,0.091,12.1,93.98,8.97,4.4
2021-01-30 09:00:00,,4.45,0.09,12.18,94.41,9.01,4.33
2021-01-30 08:00:00,,4.07,0.091,12.19,94.36,8.96,4.28
2021-01-30 07:00:00,,1.89,0.09,12.23,94.26,9.04,4.1
2021-01-30 06:00:00,,3.06,0.09,12.24,94.34,8.98,4.12
2021-01-30 05:00:00,,1.97,0.089,12.26,94.2,9.04,4
2021-01-30 04:00:00,11.07,2.05,0.089,12.42,95.07,9.01,3.85
2021-01-30 03:00:00,,4,0.089,12.22,93.97,8.94,4.01
2021-01-30 02:00:00,,4.15,0.09,12.14,93.31,8.92,4
2021-01-30 01:00:00,,4.02,0.089,12.08,92.66,8.91,3.93
2021-01-30 00:00:00,,4.23,0.089,12.05,92.67,8.94,4.03
2021-01-29 23:00:00,,4.12,0.09,11.99,92.29,8.94,4.06
2021-01-29 22:00:00,,4.55,0.089,12.02,92.62,8.94,4.1
2021-01-29 21:00:00,,4.2,0.089,12.04,92.56,8.93,3.99
2021-01-29 20:00:00,,4.75,0.088,12.14,93.13,8.92,3.94
